,pair,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,cond-mat.stat-mech-->q-bio.MN,0.9763779527559056,0.9763779527559056,0.9763779527559056,0.9763779527559056,0.9763779527559056,0.9763997989096895
1,cond-mat.stat-mech-->physics.bio-ph,0.9507186858316222,0.9507186858316222,0.9507186858316222,0.9507186858316222,0.9507186858316222,0.9507431407617221
2,cond-mat.stat-mech-->physics.soc-ph,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9798978729600747
3,cond-mat.stat-mech-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
4,cond-mat.stat-mech-->physics.data-an,0.9548660084626234,0.9548660084626234,0.9548660084626234,0.9548660084626234,0.9548660084626234,0.9548772956114889
5,cond-mat.stat-mech-->nlin.AO,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9706808590646789
6,cond-mat.stat-mech-->math.OC,0.9601449275362319,0.9601449275362319,0.9601449275362319,0.9601449275362319,0.9601449275362319,0.9601981734034841
7,cond-mat.stat-mech-->cs.SI,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523938695658295
8,cond-mat.stat-mech-->cond-mat.dis-nn,0.9519038076152304,0.9519038076152304,0.9519038076152304,0.9519038076152304,0.9519038076152304,0.9519231661385917
9,q-bio.MN-->cond-mat.stat-mech,0.9803149606299213,0.9803149606299213,0.9803149606299213,0.9803149606299213,0.9803149606299213,0.9803453297675213
10,q-bio.MN-->physics.bio-ph,0.9741176470588235,0.9741176470588235,0.9741176470588235,0.9741176470588235,0.9741176470588235,0.9741303311959328
11,q-bio.MN-->physics.soc-ph,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.969370050667832
12,q-bio.MN-->cs.CV,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9858557284299859
13,q-bio.MN-->physics.data-an,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481612900013892
14,q-bio.MN-->nlin.AO,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9566141449957207
15,q-bio.MN-->math.OC,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9632108822387959
16,q-bio.MN-->cs.SI,0.9551282051282052,0.9551282051282052,0.9551282051282052,0.9551282051282052,0.9551282051282052,0.9551418878824981
17,q-bio.MN-->cond-mat.dis-nn,0.9524752475247524,0.9524752475247524,0.9524752475247524,0.9524752475247524,0.9524752475247524,0.9524973700771681
18,physics.bio-ph-->cond-mat.stat-mech,0.9527720739219713,0.9527720739219713,0.9527720739219713,0.9527720739219713,0.9527720739219713,0.952949969177656
19,physics.bio-ph-->q-bio.MN,0.9788235294117648,0.9788235294117648,0.9788235294117648,0.9788235294117648,0.9788235294117648,0.9788950841295344
20,physics.bio-ph-->physics.soc-ph,0.9663551401869159,0.9663551401869159,0.9663551401869159,0.9663551401869159,0.9663551401869159,0.9664578294371635
21,physics.bio-ph-->cs.CV,0.9905660377358491,0.9905660377358491,0.9905660377358491,0.9905660377358491,0.9905660377358491,0.9908089095931457
22,physics.bio-ph-->physics.data-an,0.9489194499017681,0.9489194499017681,0.9489194499017681,0.9489194499017681,0.9489194499017681,0.9489342629689796
23,physics.bio-ph-->nlin.AO,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.948860028220314
24,physics.bio-ph-->math.OC,0.975,0.975,0.975,0.975,0.975,0.9750653104657413
25,physics.bio-ph-->cs.SI,0.930576070901034,0.930576070901034,0.930576070901034,0.930576070901034,0.930576070901034,0.9305999426250222
26,physics.bio-ph-->cond-mat.dis-nn,0.9616908850726552,0.9616908850726552,0.9616908850726552,0.9616908850726552,0.9616908850726552,0.9617131800126449
27,physics.soc-ph-->cond-mat.stat-mech,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.9798657718120806,0.979886716053035
28,physics.soc-ph-->q-bio.MN,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.9693256511384191
29,physics.soc-ph-->physics.bio-ph,0.9551401869158879,0.9551401869158879,0.9551401869158879,0.9551401869158879,0.9551401869158879,0.955162671797335
30,physics.soc-ph-->cs.CV,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9913515687851971
31,physics.soc-ph-->physics.data-an,0.9400921658986175,0.9400921658986175,0.9400921658986175,0.9400921658986175,0.9400921658986175,0.9401068268606847
32,physics.soc-ph-->nlin.AO,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9261960924440195
33,physics.soc-ph-->math.OC,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9647329785128299
34,physics.soc-ph-->cs.SI,0.9464882943143813,0.9464882943143813,0.9464882943143813,0.9464882943143813,0.9464882943143813,0.9465026542956899
35,physics.soc-ph-->cond-mat.dis-nn,0.9609236234458259,0.9609236234458259,0.9609236234458259,0.9609236234458259,0.9609236234458259,0.9609395475188258
36,cs.CV-->cond-mat.stat-mech,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887787324667695
37,cs.CV-->q-bio.MN,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857252326217845
38,cs.CV-->physics.bio-ph,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622800314182572
39,cs.CV-->physics.soc-ph,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911567635903918
40,cs.CV-->physics.data-an,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.987182208001393
41,cs.CV-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
42,cs.CV-->math.OC,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791806864064604
43,cs.CV-->cs.SI,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824609813717516
44,cs.CV-->cond-mat.dis-nn,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285956081040462
45,physics.data-an-->cond-mat.stat-mech,0.9788434414668548,0.9788434414668548,0.9788434414668548,0.9802538787023978,0.9802538787023978,0.979054209293504
46,physics.data-an-->q-bio.MN,0.9604938271604938,0.9604938271604938,0.9604938271604938,0.9604938271604938,0.9629629629629629,0.9607710337252243
47,physics.data-an-->physics.bio-ph,0.9489194499017681,0.9489194499017681,0.9489194499017681,0.9489194499017681,0.9489194499017681,0.9489839128820774
48,physics.data-an-->physics.soc-ph,0.956221198156682,0.956221198156682,0.956221198156682,0.956221198156682,0.9585253456221198,0.9564812922138979
49,physics.data-an-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
50,physics.data-an-->nlin.AO,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9788596060247298
51,physics.data-an-->math.OC,0.9756782039289055,0.9756782039289055,0.9756782039289055,0.9756782039289055,0.9756782039289055,0.9757461830936253
52,physics.data-an-->cs.SI,0.9833162217659137,0.9833162217659137,0.9833162217659137,0.9833162217659137,0.9833162217659137,0.9833327639997413
53,physics.data-an-->cond-mat.dis-nn,0.9492857142857143,0.9492857142857143,0.9492857142857143,0.9492857142857143,0.9492857142857143,0.949368725172649
54,nlin.AO-->cond-mat.stat-mech,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9706348418645692
55,nlin.AO-->q-bio.MN,0.9456521739130435,0.9456521739130435,0.9456521739130435,0.9456521739130435,0.9456521739130435,0.9456940034045662
56,nlin.AO-->physics.bio-ph,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9231137599331941
57,nlin.AO-->physics.soc-ph,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9260019267341247
58,nlin.AO-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
59,nlin.AO-->physics.data-an,0.9446808510638298,0.9446808510638298,0.9446808510638298,0.9446808510638298,0.9446808510638298,0.9446944107021414
60,nlin.AO-->math.OC,0.953125,0.953125,0.953125,0.953125,0.953125,0.9531632097578597
61,nlin.AO-->cs.SI,0.9307692307692308,0.9307692307692308,0.9307692307692308,0.9307692307692308,0.9307692307692308,0.9307869690865959
62,nlin.AO-->cond-mat.dis-nn,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666780910424595
63,math.OC-->cond-mat.stat-mech,0.9601449275362319,0.9601449275362319,0.9601449275362319,0.9601449275362319,0.9601449275362319,0.9602258620386742
64,math.OC-->q-bio.MN,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9632020024773711
