,pair,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,cond-mat.stat-mech-->q-bio.MN,0.9960629921259843,0.9960629921259843,0.9960629921259843,0.9960629921259843,0.9960629921259843,0.9960656558660885
1,cond-mat.stat-mech-->physics.bio-ph,0.9958932238193019,0.9958932238193019,0.9958932238193019,0.9958932238193019,0.9958932238193019,0.995895423843617
2,cond-mat.stat-mech-->physics.soc-ph,1.0,1.0,1.0,1.0,1.0,1.0
3,cond-mat.stat-mech-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
4,cond-mat.stat-mech-->physics.data-an,0.995768688293371,0.995768688293371,0.995768688293371,0.995768688293371,0.995768688293371,0.9957696219303226
5,cond-mat.stat-mech-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
6,cond-mat.stat-mech-->math.OC,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.992759545512468
7,cond-mat.stat-mech-->cs.SI,0.9981684981684982,0.9981684981684982,0.9981684981684982,0.9981684981684982,0.9981684981684982,0.9981689643181116
8,cond-mat.stat-mech-->cond-mat.dis-nn,0.9939879759519038,0.9939879759519038,0.9939879759519038,0.9939879759519038,0.9939879759519038,0.9939899192816215
9,q-bio.MN-->cond-mat.stat-mech,0.9960629921259843,0.9960629921259843,0.9960629921259843,0.9960629921259843,0.9960629921259843,0.99606742070627
10,q-bio.MN-->physics.bio-ph,0.9952941176470588,0.9952941176470588,0.9952941176470588,0.9952941176470588,0.9952941176470588,0.9952961270643583
11,q-bio.MN-->physics.soc-ph,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912367073163598
12,q-bio.MN-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
13,q-bio.MN-->physics.data-an,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9901255627992268
14,q-bio.MN-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
15,q-bio.MN-->math.OC,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947402843275618
16,q-bio.MN-->cs.SI,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967956718768002
17,q-bio.MN-->cond-mat.dis-nn,0.9821782178217822,0.9821782178217822,0.9821782178217822,0.9821782178217822,0.9821782178217822,0.9821841267760564
18,physics.bio-ph-->cond-mat.stat-mech,1.0,1.0,1.0,1.0,1.0,1.0
19,physics.bio-ph-->q-bio.MN,0.9952941176470588,0.9952941176470588,0.9952941176470588,0.9952941176470588,0.9952941176470588,0.9952988882255999
20,physics.bio-ph-->physics.soc-ph,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9981339255420869
21,physics.bio-ph-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
22,physics.bio-ph-->physics.data-an,0.9911591355599214,0.9911591355599214,0.9911591355599214,0.9911591355599214,0.9911591355599214,0.9911613590057385
23,physics.bio-ph-->nlin.AO,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871902788569454
24,physics.bio-ph-->math.OC,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931873378149773
25,physics.bio-ph-->cs.SI,0.9940915805022157,0.9940915805022157,0.9940915805022157,0.9940915805022157,0.9940915805022157,0.994093245520983
26,physics.bio-ph-->cond-mat.dis-nn,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940587778872321
27,physics.soc-ph-->cond-mat.stat-mech,1.0,1.0,1.0,1.0,1.0,1.0
28,physics.soc-ph-->q-bio.MN,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912352092492416
29,physics.soc-ph-->physics.bio-ph,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9981316891972115
30,physics.soc-ph-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
31,physics.soc-ph-->physics.data-an,0.9976958525345622,0.9976958525345622,0.9976958525345622,0.9976958525345622,0.9976958525345622,0.9976963596092685
32,physics.soc-ph-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
33,physics.soc-ph-->math.OC,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921353480804442
34,physics.soc-ph-->cs.SI,0.9866220735785953,0.9866220735785953,0.9866220735785953,0.9866220735785953,0.9866220735785953,0.9866250271535737
35,physics.soc-ph-->cond-mat.dis-nn,0.9946714031971581,0.9946714031971581,0.9946714031971581,0.9946714031971581,0.9946714031971581,0.9946732157519103
36,cs.CV-->cond-mat.stat-mech,1.0,1.0,1.0,1.0,1.0,1.0
37,cs.CV-->q-bio.MN,1.0,1.0,1.0,1.0,1.0,1.0
38,cs.CV-->physics.bio-ph,1.0,1.0,1.0,1.0,1.0,1.0
39,cs.CV-->physics.soc-ph,1.0,1.0,1.0,1.0,1.0,1.0
40,cs.CV-->physics.data-an,1.0,1.0,1.0,1.0,1.0,1.0
41,cs.CV-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
42,cs.CV-->math.OC,1.0,1.0,1.0,1.0,1.0,1.0
43,cs.CV-->cs.SI,1.0,1.0,1.0,1.0,1.0,1.0
44,cs.CV-->cond-mat.dis-nn,1.0,1.0,1.0,1.0,1.0,1.0
45,physics.data-an-->cond-mat.stat-mech,1.0,1.0,1.0,1.0,1.0,1.0
46,physics.data-an-->q-bio.MN,0.9950617283950617,0.9950617283950617,0.9950617283950617,0.9950617283950617,0.9950617283950617,0.9950651761983155
47,physics.data-an-->physics.bio-ph,0.9941060903732809,0.9941060903732809,0.9941060903732809,0.9941060903732809,0.9941060903732809,0.9941094127195272
48,physics.data-an-->physics.soc-ph,0.9976958525345622,0.9976958525345622,0.9976958525345622,0.9976958525345622,0.9976958525345622,0.9977002835873803
49,physics.data-an-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
50,physics.data-an-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
51,physics.data-an-->math.OC,0.9981290926099158,0.9981290926099158,0.9981290926099158,0.9981290926099158,0.9981290926099158,0.9981355108359692
52,physics.data-an-->cs.SI,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9928173388546961
53,physics.data-an-->cond-mat.dis-nn,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964306624247745
54,nlin.AO-->cond-mat.stat-mech,1.0,1.0,1.0,1.0,1.0,1.0
55,nlin.AO-->q-bio.MN,1.0,1.0,1.0,1.0,1.0,1.0
56,nlin.AO-->physics.bio-ph,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871841005342264
57,nlin.AO-->physics.soc-ph,1.0,1.0,1.0,1.0,1.0,1.0
58,nlin.AO-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
59,nlin.AO-->physics.data-an,1.0,1.0,1.0,1.0,1.0,1.0
60,nlin.AO-->math.OC,1.0,1.0,1.0,1.0,1.0,1.0
61,nlin.AO-->cs.SI,1.0,1.0,1.0,1.0,1.0,1.0
62,nlin.AO-->cond-mat.dis-nn,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777851573858638
63,math.OC-->cond-mat.stat-mech,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927614468701615
64,math.OC-->q-bio.MN,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947398106094338
65,math.OC-->physics.bio-ph,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931843184631974
66,math.OC-->physics.soc-ph,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921377787865209
67,math.OC-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
68,math.OC-->physics.data-an,0.9953227315247896,0.9953227315247896,0.9953227315247896,0.9953227315247896,0.9953227315247896,0.9953237728890283
69,math.OC-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
70,math.OC-->cs.SI,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.9986740451508068
71,math.OC-->cond-mat.dis-nn,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9946253688669489
72,cs.SI-->cond-mat.stat-mech,1.0,1.0,1.0,1.0,1.0,1.0
73,cs.SI-->q-bio.MN,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967996131087847
74,cs.SI-->physics.bio-ph,0.9940915805022157,0.9940915805022157,0.9940915805022157,0.9940915805022157,0.9940915805022157,0.9940962982221788
75,cs.SI-->physics.soc-ph,0.9899665551839465,0.9899665551839465,0.9899665551839465,0.9899665551839465,0.9899665551839465,0.9899742969232154
76,cs.SI-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
77,cs.SI-->physics.data-an,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9928153193929651
78,cs.SI-->nlin.AO,1.0,1.0,1.0,1.0,1.0,1.0
79,cs.SI-->math.OC,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.9986755769781847
80,cs.SI-->cond-mat.dis-nn,0.9946409431939979,0.9946409431939979,0.9946409431939979,0.9946409431939979,0.9946409431939979,0.9946447752250759
81,cond-mat.dis-nn-->cond-mat.stat-mech,0.9939879759519038,0.9939879759519038,0.9939879759519038,0.9939879759519038,0.9939879759519038,0.9940026191795935
82,cond-mat.dis-nn-->q-bio.MN,0.9821782178217822,0.9821782178217822,0.9821782178217822,0.9821782178217822,0.9821782178217822,0.9822023703002467
83,cond-mat.dis-nn-->physics.bio-ph,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940647049971505
84,cond-mat.dis-nn-->physics.soc-ph,0.9946714031971581,0.9946714031971581,0.9946714031971581,0.9946714031971581,0.9946714031971581,0.9946870770149177
85,cond-mat.dis-nn-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
86,cond-mat.dis-nn-->physics.data-an,0.9957142857142857,0.9957142857142857,0.9957142857142857,0.9957142857142857,0.9957142857142857,0.9957153535985859
87,cond-mat.dis-nn-->nlin.AO,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888986611941757
88,cond-mat.dis-nn-->math.OC,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.99462830556945
89,cond-mat.dis-nn-->cs.SI,0.9946409431939979,0.9946409431939979,0.9946409431939979,0.9946409431939979,0.9946409431939979,0.9946423480458163
