,pair,accuracy,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,g5-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,g5-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,g5-->g2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,g5-->g1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,g5-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,g4-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,g4-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,g4-->g2,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,1.0,0.9773118447817243
8,g4-->g1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,g4-->g0,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.9893834218048183
10,g3-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,g3-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,g3-->g2,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,1.0,0.9883040935672515
13,g3-->g1,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,1.0,0.9886363636363636
14,g3-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,g2-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,g2-->g4,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9879518072289156,0.9765601536581106
17,g2-->g3,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9878917378917379
18,g2-->g1,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9878048780487805,0.976599505125486
19,g2-->g0,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9662921348314607,0.9560802114815248
20,g1-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,g1-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,g1-->g3,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9882970137207424
23,g1-->g2,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9761548836686523
24,g1-->g0,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.9893834218048183
25,g0-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,g0-->g4,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.9893869571288926
27,g0-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,g0-->g2,0.9550561797752809,0.9662921348314607,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9722518510847616
29,g0-->g1,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.9893987581402393
