,pair,accuracy,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,g0-->g1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,g0-->g2,1.0,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9889222978319354
2,g0-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,g0-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,g0-->g5,0.978021978021978,0.978021978021978,0.978021978021978,0.978021978021978,0.978021978021978,0.989010989010989,0.9788232600732599
5,g1-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,g1-->g2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,g1-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,g1-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,g1-->g5,0.9878048780487805,0.9878048780487805,0.9878048780487805,0.9878048780487805,0.9878048780487805,1.0,0.9885670731707317
10,g2-->g0,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9889080956496686
11,g2-->g1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,g2-->g3,0.975,0.975,0.975,0.975,0.975,0.9875,0.9762916666666666
13,g2-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,g2-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,g3-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,g3-->g1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,g3-->g2,0.975,0.975,0.975,0.975,0.975,0.9875,0.9762609649122806
18,g3-->g4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,g3-->g5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,g4-->g0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,g4-->g1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,g4-->g2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,g4-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,g4-->g5,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9877499999999999
25,g5-->g0,0.978021978021978,0.978021978021978,0.978021978021978,0.978021978021978,0.978021978021978,1.0,0.9790473218465107
26,g5-->g1,0.9878048780487805,0.9878048780487805,0.9878048780487805,0.9878048780487805,0.9878048780487805,1.0,0.9888211382113821
27,g5-->g2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,g5-->g3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,g5-->g4,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9877659574468085
