,pair,accuracy,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
0,g5-->g4,0.8636363636363636,0.8409090909090909,0.9090909090909091,0.9090909090909091,0.9318181818181818,1.0,0.8828359140859141
1,g5-->g3,0.9024390243902439,0.9512195121951219,0.975609756097561,0.975609756097561,0.975609756097561,1.0,0.9652908067542215
2,g5-->g2,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,1.0,0.9772357723577235
3,g5-->g1,0.7906976744186046,0.8372093023255814,0.8604651162790697,0.8604651162790697,0.9069767441860465,1.0,0.859971811134602
4,g5-->g0,0.9361702127659575,0.8936170212765957,0.9148936170212766,0.9361702127659575,0.9361702127659575,0.9787234042553191,0.9092491000897851
5,g4-->g5,0.9090909090909091,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9318181818181818,0.9772727272727273,0.8944968631038425
6,g4-->g3,0.925,0.95,0.95,0.95,0.975,1.0,0.9545634920634921
7,g4-->g2,0.75,0.825,0.95,0.95,0.95,0.975,0.8807142857142857
8,g4-->g1,0.7619047619047619,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8809523809523809,1.0,0.8326660209538359
9,g4-->g0,0.9782608695652174,0.9347826086956522,0.9565217391304348,0.9565217391304348,0.9782608695652174,1.0,0.9491028295376122
10,g3-->g5,0.926829268292683,0.926829268292683,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.975609756097561,0.9411183062546047
11,g3-->g4,0.95,0.925,0.95,0.975,0.975,1.0,0.9406060606060607
12,g3-->g2,0.975,0.975,0.975,1.0,1.0,1.0,0.98125
13,g3-->g1,0.8974358974358975,0.9230769230769231,0.9743589743589743,0.9743589743589743,0.9743589743589743,1.0,0.9501424501424501
14,g3-->g0,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9772727272727273,0.9343911464879207
15,g2-->g5,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.975609756097561,0.975609756097561,0.9549274884640739
16,g2-->g4,0.85,0.85,0.925,0.925,0.925,0.975,0.8865462662337663
17,g2-->g3,0.975,0.975,0.975,1.0,1.0,1.0,0.98125
18,g2-->g1,0.8717948717948718,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.9230769230769231,0.9743589743589743,0.891142131599729
19,g2-->g0,0.9318181818181818,0.9545454545454546,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.966577540106952
20,g1-->g5,0.813953488372093,0.813953488372093,0.8604651162790697,0.8837209302325582,0.8837209302325582,0.9534883720930233,0.8447149851372617
21,g1-->g4,0.8095238095238095,0.8333333333333334,0.8809523809523809,0.9047619047619048,0.9047619047619048,0.9761904761904762,0.868177053209948
22,g1-->g3,0.8717948717948718,0.9230769230769231,1.0,1.0,1.0,1.0,0.9615384615384616
23,g1-->g2,0.8461538461538461,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,0.9515750915750915
24,g1-->g0,0.8444444444444444,0.8666666666666667,0.9111111111111111,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.8954545454545455
25,g0-->g5,0.851063829787234,0.851063829787234,0.9148936170212766,0.9148936170212766,0.9361702127659575,0.9574468085106383,0.8846018629114204
26,g0-->g4,0.9565217391304348,0.9347826086956522,0.9347826086956522,0.9565217391304348,0.9565217391304348,1.0,0.9417238749046529
27,g0-->g3,0.9545454545454546,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9318181818181818,1.0,0.9351866883116884
28,g0-->g2,1.0,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9779829545454546
29,g0-->g1,0.9111111111111111,0.8888888888888888,0.9111111111111111,0.9111111111111111,0.9111111111111111,1.0,0.9048118675704883
